V5001,V5002,V5003,case_number,V5005,V5006,V5007,V5008,V5009,V5010,V5011
5,1,AL0011200,2W1I0U7 ZL0N,20160510,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ZL2D,20160510,1,27,F,W,1, 
5,1,AL0011200,2W1I0U7 ZL8X,20160511,1,20,F,W,1, 
5,1,AL0011200,2W1I0U7 ZLB,20160511,1,30,M,W,2, 
5,1,AL0011200,2W1I0U7 ZLB,20160511,2,23,M,B, , 
5,1,AL0011200,2W1I0U7 ZN0X,20160506,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ZN2X,20160409,1,24,F,B,1, 
5,1,AL0011200,2W1I0U7 ZN8W,20160509,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ZNBD,20160509,1,18,M,B,1, 
5,1,AL0011200,2W1I0U7 ZX2O,20160511,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 ZXB,20160511,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7 ZXT4,20160511,1,49,M,B,1, 
5,1,AL0011200,2W1I0U7 ZY,20160510,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ZY6N,20160510,1,27,F,W,1, 
5,1,AL0011200,2W1I0U7 ZY8N,20160510,0, , , ,1, 
5,1,AL0011200,2W1I0U7 ZYJN,20160510,1,15,F,B,1, 
5,1,AL0011200,2W1I0U7262 4,20160125,1,35,M,W,2, 
5,1,AL0011200,2W1I0U7262 4,20160125,2,31,F,W, , 
5,1,AL0011200,2W1I0U726284,20160121,0, , , ,1, 
5,1,AL0011200,2W1I0U7264 N,20160123,1,49,F,B,2, 
5,1,AL0011200,2W1I0U7264 N,20160123,2,49,F,B, , 
5,1,AL0011200,2W1I0U72640R,20160124,1,29,M,W,1, 
5,1,AL0011200,2W1I0U726468,20160124,1,25,M,W,1, 
5,1,AL0011200,2W1I0U72646X,20160124,1,49,F,W,1, 
5,1,AL0011200,2W1I0U726628,20160123,1,15,F,B,3, 
5,1,AL0011200,2W1I0U726628,20160123,2,14,F,B, , 
5,1,AL0011200,2W1I0U726628,20160123,3,14,F,B, , 
5,1,AL0011200,2W1I0U72666X,20160123,1,32,F,B,2, 
5,1,AL0011200,2W1I0U72666X,20160123,2,49,F,B, , 
5,1,AL0011200,2W1I0U726688,20160123,1,17,M,W,1, 
5,1,AL0011200,2W1I0U7266JD,20160123,1,38,F,B,1, 
5,1,AL0011200,2W1I0U7266K,20150912,1,39,F,W,1, 
5,1,AL0011200,2W1I0U726708,20160123,1,24,M,B,1, 
5,1,AL0011200,2W1I0U72672W,20160123,0, , , ,1, 
5,1,AL0011200,2W1I0U726C0I,20160124,1,29,M,W,1, 
5,1,AL0011200,2W1I0U726C2O,20160124,0, , , ,1, 
5,1,AL0011200,2W1I0U726C6,20160124,1,36,M,W,1, 
5,1,AL0011200,2W1I0U726CJN,20160124,0, , , ,1, 
5,1,AL0011200,2W1I0U726CK8,20160124,1,30,M,W,1, 
5,1,AL0011200,2W1I0U726G6W,20160123,0, , , ,1, 
5,1,AL0011200,2W1I0U726GKD,20160122,0, , , ,1, 
5,1,AL0011200,2W1I0U726N D,20160123,0, , , ,1, 
5,1,AL0011200,2W1I0U726N24,20160122,0, , , ,1, 
5,1,AL0011200,2W1I0U726NKO,20160122,1,34,M,W,1, 
5,1,AL0011200,2W1I0U726NTW,20160122,1,34,M,W,1, 
5,1,AL0011200,2W1I0U726X,20160125,1,59,F,W,1, 
5,1,AL0011200,2W1I0U726X 4,20160120,1,34,M,W,1, 
5,1,AL0011200,2W1I0U726X0D,20160121,1,26,M,B,1, 
5,1,AL0011200,2W1I0U726YB,20160124,1,47,M,W,1, 
5,1,AL0011200,2W1I0U727228,20160127,1,22,M,B,1, 
5,1,AL0011200,2W1I0U72726W,20160127,1,49,M,B,1, 
5,1,AL0011200,2W1I0U7272B4,20160127,1,22,M,B,1, 
5,1,AL0011200,2W1I0U7272B8,20160127,1,22,M,B,1, 
5,1,AL0011200,2W1I0U727488,20160127,1,29,M,W,1, 
5,1,AL0011200,2W1I0U7276XW,20160126,0, , , ,1, 
5,1,AL0011200,2W1I0U72772,20160126,1,49,M,W,1, 
5,1,AL0011200,2W1I0U7277X4,20160126,0, , , ,1, 
5,1,AL0011200,2W1I0U727C6X,20160127,0, , , ,1, 
